order_id,order_date,status,total,customer_name,city,region,employee_name
5626,2023-01-01T01:19:53,Completado,0.0,Anacleto Real,Burgos,Castilla-La Mancha,Nilda Gonzalez
3162,2023-01-01T03:11:24,Cancelado,0.0,Luisa Boada,Córdoba,Navarra,Bonifacio Talavera
3644,2023-01-01T19:58:51,Completado,0.0,Virgilio Requena,Córdoba,Navarra,Melchor Baró
1291,2023-01-01T20:14:31,Envío,0.0,Vidal Soto,Lleida,Asturias,Flavio Marí
5464,2023-01-01T23:55:29,Envío,0.0,Rosario Larrea,Lleida,Asturias,Rosalía Estévez
1284,2023-01-02T13:19:19,Pendiente,0.0,Bernardita Manzano,Lleida,Asturias,Samu Iglesias
5325,2023-01-02T13:31:26,Pendiente,0.0,Bibiana Sancho,Vizcaya,Aragón,Bárbara Moreno
3974,2023-01-02T21:07:39,Pendiente,0.0,Mónica Escribano,Toledo,Murcia,Narciso Porta
3812,2023-01-03T04:11:39,Completado,0.0,Fortunata Alberdi,Lleida,Asturias,Priscila Gargallo
2631,2023-01-03T10:51:13,Pendiente,0.0,Felicidad Fortuny,Alicante,Madrid,Bonifacio Talavera
2885,2023-01-03T14:34:43,Completado,0.0,Virgilio Requena,Córdoba,Navarra,Gabino Gargallo
1462,2023-01-04T00:53:10,Completado,0.0,Brígida Rozas,Toledo,Murcia,Melchor Baró
1346,2023-01-04T04:20:12,Cancelado,0.0,Pascuala Chaves,Álava,País Vasco,Eligia Martí
1086,2023-01-04T05:45:45,Completado,0.0,Jonatan Rovira,Castellón,Comunidad Valenciana,Bárbara Moreno
4033,2023-01-04T09:13:48,Envío,0.0,Lara Río,Guipúzcoa,Galicia,Aránzazu Robledo
3438,2023-01-04T11:18:03,Completado,0.0,Brígida Rozas,Toledo,Murcia,Flavio Marí
4101,2023-01-05T10:51:22,Completado,0.0,Loreto Infante,Córdoba,Navarra,Gema Bosch
105,2023-01-05T18:40:27,Completado,0.0,Abril Vallejo,Baleares,Canarias,Nilda Gonzalez
2732,2023-01-05T19:00:16,Pendiente,0.0,Bonifacio Fuentes,Sevilla,Castilla y León,Eusebio Hernandez
5288,2023-01-05T19:49:57,Envío,0.0,Moisés Sanmartín,Burgos,Castilla-La Mancha,Flavia Cueto
2757,2023-01-05T20:39:41,Envío,0.0,Trini Catalá,Guipúzcoa,Galicia,Reyes Arnal
3771,2023-01-06T14:14:17,Completado,0.0,Vidal Soto,Lleida,Asturias,Hernán Navarrete
4564,2023-01-06T17:05:03,Completado,0.0,Dulce Correa,Alicante,Madrid,José Valderrama
1686,2023-01-06T17:50:12,Pendiente,0.0,Mónica Escribano,Toledo,Murcia,Samu Iglesias
348,2023-01-07T09:49:05,Completado,0.0,Federico Toledo,Álava,País Vasco,Macaria Vall
4692,2023-01-07T11:00:17,Cancelado,0.0,Elisa Abella,Lleida,Asturias,Gema Bosch
2513,2023-01-07T11:51:44,Cancelado,0.0,Buenaventura Tamarit,Álava,País Vasco,Gema Bosch
1349,2023-01-07T15:32:30,Completado,0.0,Calisto Goñi,Toledo,Murcia,Amalia Rubio
5025,2023-01-08T05:15:11,Completado,0.0,Sancho Castell,Álava,País Vasco,Melchor Baró
2244,2023-01-08T05:57:04,Completado,0.0,Iris Morillo,Burgos,Castilla-La Mancha,Hernán Navarrete
5085,2023-01-08T16:13:37,Pendiente,0.0,Carmelita Barón,Guipúzcoa,Galicia,Palmira Matas
4848,2023-01-08T18:57:22,Envío,0.0,Bautista Canales,Baleares,Canarias,Narciso Porta
5460,2023-01-08T21:46:41,Pendiente,0.0,Mauricio Alberola,Córdoba,Baleares,Rosalía Estévez
3460,2023-01-09T00:10:13,Completado,0.0,Micaela Cáceres,Burgos,Castilla-La Mancha,Melchor Baró
1489,2023-01-09T00:21:07,Envío,0.0,Adoración Tamarit,Burgos,Castilla-La Mancha,Hernán Navarrete
962,2023-01-09T02:22:10,Envío,0.0,Rico Alberola,Lleida,Asturias,José Valderrama
